ano;mes;temperatura
2010;SET.;18.5
2011;SET.;17.1
2012;SET.;18.9
2013;SET.;18.0
2014;SET.;19.0
2015;SET.;19.8
2016;SET.;17.5
2017;SET.;19.3
2018;SET.;18.3
2019;SET.;18.9
2020;SET.;20.6
2021;SET.;19.7
2022;SET.;15.959444444444443
2023;SET.;21.3
1933;OUT.;16.896908602150535
1934;OUT.;16.26639784946237
1935;OUT.;17.242607526881724
1936;OUT.;17.647177419354843
1937;OUT.;16.67325268817204
1938;OUT.;17.283064516129027
1939;OUT.;17.625806451612902
1940;OUT.;17.315725806451614
1941;OUT.;16.734543010752684
1942;OUT.;17.146236559139783
1943;OUT.;17.081451612903226
1944;OUT.;19.696774193548393
1945;OUT.;17.6758064516129
1946;OUT.;18.397177419354836
1947;OUT.;15.204973118279568
1948;OUT.;16.741263440860216
1949;OUT.;16.62432795698925
1950;OUT.;16.93508064516129
1951;OUT.;17.549059139784944
1952;OUT.;18.020430107526877
1953;OUT.;18.333064516129035
1954;OUT.;17.8119623655914
1955;OUT.;16.391263440860214
1956;OUT.;17.07688172043011
1957;OUT.;19.123924731182793
1958;OUT.;18.33682795698925
1959;OUT.;18.831586021505384
1960;OUT.;19.713172043010754
1961;OUT.;20.09556451612903
1962;OUT.;16.68118279569892
1963;OUT.;18.932930107526875
1964;OUT.;17.014247311827955
1965;OUT.;18.303897849462363
1966;OUT.;18.059946236559135
1967;OUT.;20.194354838709685
1968;OUT.;17.69663978494624
1969;OUT.;16.39529569892473
1970;OUT.;17.43938172043011
1971;OUT.;17.10013440860215
1972;OUT.;18.653225806451612
1973;OUT.;17.48561827956989
1974;OUT.;17.175806451612903
1975;OUT.;18.03736559139785
1976;OUT.;17.419623655913973
1977;OUT.;19.799865591397847
1978;OUT.;19.229435483870965
1979;OUT.;19.817741935483873
1980;OUT.;19.318548387096783
1981;OUT.;17.116263440860212
1982;OUT.;18.893951612903226
1983;OUT.;18.166397849462367
1984;OUT.;19.59233870967742
